"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"IT","Italy","-","All reasons for journey","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"IT","Italy","-","All reasons for journey","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","132"
"IT","Italy","-","All reasons for journey","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","-","All reasons for journey","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"IT","Italy","-","All reasons for journey","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","153"
"IT","Italy","-","All reasons for journey","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","-","All reasons for journey","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"IT","Italy","-","All reasons for journey","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","175"
"IT","Italy","-","All reasons for journey","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","-","All reasons for journey","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"IT","Italy","-","All reasons for journey","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","190"
"IT","Italy","-","All reasons for journey","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","-","All reasons for journey","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"IT","Italy","-","All reasons for journey","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"IT","Italy","-","All reasons for journey","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","-","All reasons for journey","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"IT","Italy","-","All reasons for journey","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","178"
"IT","Italy","-","All reasons for journey","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","1","Holiday/leisure/recreation","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"IT","Italy","1","Holiday/leisure/recreation","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","64"
"IT","Italy","1","Holiday/leisure/recreation","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","1","Holiday/leisure/recreation","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"IT","Italy","1","Holiday/leisure/recreation","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","59"
"IT","Italy","1","Holiday/leisure/recreation","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","1","Holiday/leisure/recreation","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"IT","Italy","1","Holiday/leisure/recreation","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","54"
"IT","Italy","1","Holiday/leisure/recreation","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","1","Holiday/leisure/recreation","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"IT","Italy","1","Holiday/leisure/recreation","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","51"
"IT","Italy","1","Holiday/leisure/recreation","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","1","Holiday/leisure/recreation","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
"IT","Italy","1","Holiday/leisure/recreation","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","77"
"IT","Italy","1","Holiday/leisure/recreation","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"IT","Italy","1","Holiday/leisure/recreation","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"IT","Italy","1","Holiday/leisure/recreation","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","84"
"IT","Italy","1","Holiday/leisure/recreation","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","1","Holiday/leisure/recreation","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"IT","Italy","1","Holiday/leisure/recreation","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","96"
"IT","Italy","1","Holiday/leisure/recreation","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","1","Holiday/leisure/recreation","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"IT","Italy","1","Holiday/leisure/recreation","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","116"
"IT","Italy","1","Holiday/leisure/recreation","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"IT","Italy","1","Holiday/leisure/recreation","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"IT","Italy","1","Holiday/leisure/recreation","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","114"
"IT","Italy","1","Holiday/leisure/recreation","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","2","Visit to friends/relatives","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.1"
"IT","Italy","2","Visit to friends/relatives","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","11"
"IT","Italy","2","Visit to friends/relatives","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"IT","Italy","2","Visit to friends/relatives","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.7"
"IT","Italy","2","Visit to friends/relatives","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"IT","Italy","2","Visit to friends/relatives","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","1"
"IT","Italy","2","Visit to friends/relatives","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"IT","Italy","2","Visit to friends/relatives","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"IT","Italy","2","Visit to friends/relatives","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"IT","Italy","2","Visit to friends/relatives","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"IT","Italy","2","Visit to friends/relatives","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","11"
"IT","Italy","2","Visit to friends/relatives","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"IT","Italy","2","Visit to friends/relatives","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"IT","Italy","2","Visit to friends/relatives","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","16"
"IT","Italy","2","Visit to friends/relatives","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"IT","Italy","2","Visit to friends/relatives","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"IT","Italy","2","Visit to friends/relatives","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"IT","Italy","2","Visit to friends/relatives","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"IT","Italy","2","Visit to friends/relatives","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"IT","Italy","2","Visit to friends/relatives","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"IT","Italy","2","Visit to friends/relatives","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"IT","Italy","2","Visit to friends/relatives","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"IT","Italy","2","Visit to friends/relatives","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"IT","Italy","2","Visit to friends/relatives","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"IT","Italy","2","Visit to friends/relatives","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"IT","Italy","2","Visit to friends/relatives","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","17"
"IT","Italy","2","Visit to friends/relatives","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"IT","Italy","3","Business","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"IT","Italy","3","Business","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"IT","Italy","3","Business","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"IT","Italy","3","Business","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.4"
"IT","Italy","3","Business","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","11"
"IT","Italy","3","Business","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"IT","Italy","3","Business","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.8"
"IT","Italy","3","Business","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"IT","Italy","3","Business","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"IT","Italy","3","Business","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"IT","Italy","3","Business","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"IT","Italy","3","Business","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"IT","Italy","3","Business","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"IT","Italy","3","Business","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"IT","Italy","3","Business","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"IT","Italy","3","Business","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"IT","Italy","3","Business","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","26"
"IT","Italy","3","Business","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"IT","Italy","3","Business","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.1"
"IT","Italy","3","Business","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"IT","Italy","3","Business","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","3","Business","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13"
"IT","Italy","3","Business","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","23"
"IT","Italy","3","Business","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"IT","Italy","3","Business","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"IT","Italy","3","Business","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"IT","Italy","3","Business","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","4","Other reason for journey","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.5"
"IT","Italy","4","Other reason for journey","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","17"
"IT","Italy","4","Other reason for journey","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"IT","Italy","4","Other reason for journey","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.4"
"IT","Italy","4","Other reason for journey","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"IT","Italy","4","Other reason for journey","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"IT","Italy","4","Other reason for journey","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.8"
"IT","Italy","4","Other reason for journey","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"IT","Italy","4","Other reason for journey","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"IT","Italy","4","Other reason for journey","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.5"
"IT","Italy","4","Other reason for journey","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","51"
"IT","Italy","4","Other reason for journey","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"IT","Italy","4","Other reason for journey","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","18"
"IT","Italy","4","Other reason for journey","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","40"
"IT","Italy","4","Other reason for journey","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"IT","Italy","4","Other reason for journey","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.1"
"IT","Italy","4","Other reason for journey","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","47"
"IT","Italy","4","Other reason for journey","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"IT","Italy","4","Other reason for journey","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.1"
"IT","Italy","4","Other reason for journey","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","40"
"IT","Italy","4","Other reason for journey","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"IT","Italy","4","Other reason for journey","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.2"
"IT","Italy","4","Other reason for journey","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"IT","Italy","4","Other reason for journey","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"IT","Italy","4","Other reason for journey","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.5"
"IT","Italy","4","Other reason for journey","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","23"
"IT","Italy","4","Other reason for journey","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"USCA","United States and Canada","-","All reasons for journey","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"USCA","United States and Canada","-","All reasons for journey","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","679"
"USCA","United States and Canada","-","All reasons for journey","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","15"
"USCA","United States and Canada","-","All reasons for journey","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"USCA","United States and Canada","-","All reasons for journey","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","742"
"USCA","United States and Canada","-","All reasons for journey","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","15"
"USCA","United States and Canada","-","All reasons for journey","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"USCA","United States and Canada","-","All reasons for journey","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","822"
"USCA","United States and Canada","-","All reasons for journey","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"USCA","United States and Canada","-","All reasons for journey","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"USCA","United States and Canada","-","All reasons for journey","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","935"
"USCA","United States and Canada","-","All reasons for journey","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"USCA","United States and Canada","-","All reasons for journey","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"USCA","United States and Canada","-","All reasons for journey","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1197"
"USCA","United States and Canada","-","All reasons for journey","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"USCA","United States and Canada","-","All reasons for journey","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"USCA","United States and Canada","-","All reasons for journey","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1335"
"USCA","United States and Canada","-","All reasons for journey","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"USCA","United States and Canada","-","All reasons for journey","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"USCA","United States and Canada","-","All reasons for journey","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1523"
"USCA","United States and Canada","-","All reasons for journey","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"USCA","United States and Canada","-","All reasons for journey","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"USCA","United States and Canada","-","All reasons for journey","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1735"
"USCA","United States and Canada","-","All reasons for journey","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"USCA","United States and Canada","-","All reasons for journey","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"USCA","United States and Canada","-","All reasons for journey","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1691"
"USCA","United States and Canada","-","All reasons for journey","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","472"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","519"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","581"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","665"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","869"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","963"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1124"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1334"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1290"
"USCA","United States and Canada","1","Holiday/leisure/recreation","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"USCA","United States and Canada","2","Visit to friends/relatives","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.7"
"USCA","United States and Canada","2","Visit to friends/relatives","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","95"
"USCA","United States and Canada","2","Visit to friends/relatives","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","2","Visit to friends/relatives","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.7"
"USCA","United States and Canada","2","Visit to friends/relatives","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","85"
"USCA","United States and Canada","2","Visit to friends/relatives","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"USCA","United States and Canada","2","Visit to friends/relatives","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"USCA","United States and Canada","2","Visit to friends/relatives","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","104"
"USCA","United States and Canada","2","Visit to friends/relatives","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","2","Visit to friends/relatives","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"USCA","United States and Canada","2","Visit to friends/relatives","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","123"
"USCA","United States and Canada","2","Visit to friends/relatives","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","2","Visit to friends/relatives","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.7"
"USCA","United States and Canada","2","Visit to friends/relatives","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","136"
"USCA","United States and Canada","2","Visit to friends/relatives","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","2","Visit to friends/relatives","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"USCA","United States and Canada","2","Visit to friends/relatives","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","143"
"USCA","United States and Canada","2","Visit to friends/relatives","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","2","Visit to friends/relatives","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"USCA","United States and Canada","2","Visit to friends/relatives","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","164"
"USCA","United States and Canada","2","Visit to friends/relatives","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
