"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All Countries","2","Visit to friends/relatives","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"-","All Countries","2","Visit to friends/relatives","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","803"
"-","All Countries","2","Visit to friends/relatives","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"-","All Countries","2","Visit to friends/relatives","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","864"
"-","All Countries","2","Visit to friends/relatives","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"-","All Countries","2","Visit to friends/relatives","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","895"
"-","All Countries","2","Visit to friends/relatives","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"-","All Countries","2","Visit to friends/relatives","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","881"
"-","All Countries","2","Visit to friends/relatives","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"-","All Countries","2","Visit to friends/relatives","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","907"
"-","All Countries","2","Visit to friends/relatives","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","3","Business","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"-","All Countries","3","Business","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","478"
"-","All Countries","3","Business","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","3","Business","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"-","All Countries","3","Business","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","529"
"-","All Countries","3","Business","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","3","Business","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"-","All Countries","3","Business","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","580"
"-","All Countries","3","Business","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","3","Business","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"-","All Countries","3","Business","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","587"
"-","All Countries","3","Business","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","3","Business","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"-","All Countries","3","Business","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","675"
"-","All Countries","3","Business","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","3","Business","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"-","All Countries","3","Business","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","724"
"-","All Countries","3","Business","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","3","Business","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"-","All Countries","3","Business","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","766"
"-","All Countries","3","Business","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","3","Business","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"-","All Countries","3","Business","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","744"
"-","All Countries","3","Business","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","3","Business","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"-","All Countries","3","Business","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","721"
"-","All Countries","3","Business","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","4","Other reason for journey","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.6"
"-","All Countries","4","Other reason for journey","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","324"
"-","All Countries","4","Other reason for journey","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","4","Other reason for journey","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.8"
"-","All Countries","4","Other reason for journey","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","287"
"-","All Countries","4","Other reason for journey","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","4","Other reason for journey","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14"
"-","All Countries","4","Other reason for journey","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","324"
"-","All Countries","4","Other reason for journey","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","4","Other reason for journey","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.1"
"-","All Countries","4","Other reason for journey","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","353"
"-","All Countries","4","Other reason for journey","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","4","Other reason for journey","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.9"
"-","All Countries","4","Other reason for journey","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","400"
"-","All Countries","4","Other reason for journey","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","4","Other reason for journey","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10"
"-","All Countries","4","Other reason for journey","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","443"
"-","All Countries","4","Other reason for journey","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","4","Other reason for journey","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"-","All Countries","4","Other reason for journey","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","456"
"-","All Countries","4","Other reason for journey","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","4","Other reason for journey","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"-","All Countries","4","Other reason for journey","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","419"
"-","All Countries","4","Other reason for journey","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","4","Other reason for journey","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"-","All Countries","4","Other reason for journey","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","398"
"-","All Countries","4","Other reason for journey","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"DE","Germany","-","All reasons for journey","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"DE","Germany","-","All reasons for journey","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","241"
"DE","Germany","-","All reasons for journey","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","-","All reasons for journey","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"DE","Germany","-","All reasons for journey","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","227"
"DE","Germany","-","All reasons for journey","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","-","All reasons for journey","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"DE","Germany","-","All reasons for journey","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","286"
"DE","Germany","-","All reasons for journey","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","-","All reasons for journey","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"DE","Germany","-","All reasons for journey","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","334"
"DE","Germany","-","All reasons for journey","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","-","All reasons for journey","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"DE","Germany","-","All reasons for journey","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","397"
"DE","Germany","-","All reasons for journey","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","-","All reasons for journey","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"DE","Germany","-","All reasons for journey","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","388"
"DE","Germany","-","All reasons for journey","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","-","All reasons for journey","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"DE","Germany","-","All reasons for journey","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","399"
"DE","Germany","-","All reasons for journey","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","-","All reasons for journey","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"DE","Germany","-","All reasons for journey","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","467"
"DE","Germany","-","All reasons for journey","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","-","All reasons for journey","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"DE","Germany","-","All reasons for journey","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","446"
"DE","Germany","-","All reasons for journey","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","1","Holiday/leisure/recreation","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"DE","Germany","1","Holiday/leisure/recreation","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","133"
"DE","Germany","1","Holiday/leisure/recreation","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"DE","Germany","1","Holiday/leisure/recreation","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"DE","Germany","1","Holiday/leisure/recreation","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","158"
"DE","Germany","1","Holiday/leisure/recreation","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"DE","Germany","1","Holiday/leisure/recreation","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"DE","Germany","1","Holiday/leisure/recreation","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","196"
"DE","Germany","1","Holiday/leisure/recreation","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"DE","Germany","1","Holiday/leisure/recreation","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"DE","Germany","1","Holiday/leisure/recreation","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","232"
"DE","Germany","1","Holiday/leisure/recreation","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"DE","Germany","1","Holiday/leisure/recreation","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"DE","Germany","1","Holiday/leisure/recreation","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","295"
"DE","Germany","1","Holiday/leisure/recreation","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"DE","Germany","1","Holiday/leisure/recreation","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"DE","Germany","1","Holiday/leisure/recreation","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","285"
"DE","Germany","1","Holiday/leisure/recreation","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"DE","Germany","1","Holiday/leisure/recreation","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"DE","Germany","1","Holiday/leisure/recreation","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","289"
"DE","Germany","1","Holiday/leisure/recreation","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"DE","Germany","1","Holiday/leisure/recreation","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"DE","Germany","1","Holiday/leisure/recreation","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","344"
"DE","Germany","1","Holiday/leisure/recreation","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"DE","Germany","1","Holiday/leisure/recreation","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"DE","Germany","1","Holiday/leisure/recreation","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","320"
"DE","Germany","1","Holiday/leisure/recreation","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"DE","Germany","2","Visit to friends/relatives","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"DE","Germany","2","Visit to friends/relatives","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"DE","Germany","2","Visit to friends/relatives","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"DE","Germany","2","Visit to friends/relatives","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"DE","Germany","2","Visit to friends/relatives","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"DE","Germany","2","Visit to friends/relatives","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"DE","Germany","2","Visit to friends/relatives","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"DE","Germany","2","Visit to friends/relatives","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
