"C02173V02619","Area of Residence","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"IT","Italy","2013","2013","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","119"
"IT","Italy","2014","2014","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","258"
"IT","Italy","2014","2014","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"IT","Italy","2014","2014","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","132"
"IT","Italy","2015","2015","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","321"
"IT","Italy","2015","2015","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"IT","Italy","2015","2015","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","153"
"IT","Italy","2016","2016","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","344"
"IT","Italy","2016","2016","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"IT","Italy","2016","2016","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","175"
"IT","Italy","2017","2017","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","363"
"IT","Italy","2017","2017","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"IT","Italy","2017","2017","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","190"
"IT","Italy","2018","2018","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","409"
"IT","Italy","2018","2018","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"IT","Italy","2018","2018","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"IT","Italy","2019","2019","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","392"
"IT","Italy","2019","2019","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"IT","Italy","2019","2019","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","178"
"USCA","United States and Canada","2009","2009","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","991"
"USCA","United States and Canada","2009","2009","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"USCA","United States and Canada","2009","2009","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","722"
"USCA","United States and Canada","2010","2010","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","929"
"USCA","United States and Canada","2010","2010","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"USCA","United States and Canada","2010","2010","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","695"
"USCA","United States and Canada","2011","2011","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","987"
"USCA","United States and Canada","2011","2011","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"USCA","United States and Canada","2011","2011","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","679"
"USCA","United States and Canada","2012","2012","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","1017"
"USCA","United States and Canada","2012","2012","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"USCA","United States and Canada","2012","2012","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","742"
"USCA","United States and Canada","2013","2013","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","1158"
"USCA","United States and Canada","2013","2013","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"USCA","United States and Canada","2013","2013","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","822"
"USCA","United States and Canada","2014","2014","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","1329"
