"C02196V02652","State","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","State","20054","2005Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1035"
"-","State","20061","2006Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","733"
"-","State","20061","2006Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1008"
"-","State","20062","2006Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1231"
"-","State","20062","2006Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1312"
"-","State","20063","2006Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1746"
"-","State","20063","2006Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1818"
"-","State","20064","2006Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","982"
"-","State","20064","2006Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1180"
"-","State","20071","2007Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","819"
"-","State","20071","2007Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1143"
"-","State","20072","2007Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1291"
"-","State","20072","2007Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1524"
"-","State","20073","2007Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1768"
"-","State","20073","2007Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","2098"
"-","State","20074","2007Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1024"
"-","State","20074","2007Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1396"
"-","State","20081","2008Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","824"
"-","State","20081","2008Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1452"
"-","State","20082","2008Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1313"
"-","State","20082","2008Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1627"
"-","State","20083","2008Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1734"
"-","State","20083","2008Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","2366"
"-","State","20084","2008Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","913"
"-","State","20084","2008Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1469"
